Timestep: 148, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 149, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 150, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 151, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 152, Current State: 5, Next State: 0, Selected Action: 0
Timestep: 153, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 154, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 155, Current State: 4, Next State: 5, Selected Action: 0
Timestep: 156, Current State: 5, Next State: 1, Selected Action: 0
Timestep: 157, Current State: 1, Next State: 2, Selected Action: 0
Timestep: 158, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 159, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 160, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 161, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 162, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 163, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 164, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 165, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 166, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 167, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 168, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 169, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 170, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 171, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 172, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 173, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 174, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 175, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 176, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 177, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 178, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 179, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 180, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 181, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 182, Current State: 2, Next State: 1, Selected Action: 0
Timestep: 183, Current State: 1, Next State: 0, Selected Action: 0
Timestep: 184, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 185, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 186, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 187, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 188, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 189, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 190, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 191, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 192, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 193, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 194, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 195, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 196, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 197, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 198, Current State: 2, Next State: 2, Selected Action: 0
