Timestep: 0, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 32, Trans probs: [0.09261521476188955, 0.1369124586771419, 0.09261521476188955, 0.09261521476188955, 0.18349119533750252, 0.21652027217590783, 0.09261521476188955, 0.09261521476188955]
Timestep: 33, Trans probs: [0.09219555667420191, 0.1213032159604582, 0.09219555667420191, 0.09219555667420191, 0.24410559772941964, 0.17361340293911262, 0.09219555667420191, 0.09219555667420191]
Timestep: 34, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 35, Trans probs: [0.09642225706526483, 0.12886399422352451, 0.09642225706526483, 0.09642225706526483, 0.29260246338488655, 0.09642225706526483, 0.09642225706526483, 0.09642225706526483]
Timestep: 36, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 37, Trans probs: [0.09219555667420191, 0.1213032159604582, 0.09219555667420191, 0.09219555667420191, 0.24410559772941964, 0.17361340293911262, 0.09219555667420191, 0.09219555667420191]
Timestep: 38, Trans probs: [0.09300838322327702, 0.11107892427963324, 0.09300838322327702, 0.09300838322327702, 0.28032516159316134, 0.1435539980108203, 0.09300838322327702, 0.09300838322327702]
Timestep: 39, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 40, Trans probs: [0.09642225706526483, 0.12886399422352451, 0.09642225706526483, 0.09642225706526483, 0.29260246338488655, 0.09642225706526483, 0.09642225706526483, 0.09642225706526483]
Timestep: 41, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
